"","source","year","price_group_ordered","total_mitigation_by_price_group","cumulative_reduction"
"130","FIRE",2045,"above zero",3.52381202476921,5.1256394083595
"131","FIRE",2050,"at or below zero",5.68553303003633,5.68553303003633
"132","FIRE",2050,"above zero",5.77198092996981,11.4575139600061
"133","FIRE",2055,"at or below zero",5.68554058170317,5.68554058170317
"134","FIRE",2055,"above zero",5.77201353960754,11.4575541213107
"135","FIRE",2060,"at or below zero",5.685545862294,5.685545862294
"136","FIRE",2060,"above zero",5.77204258683053,11.4575884491245
"137","FIRE",2065,"at or below zero",5.68555181069079,5.68555181069079
"138","FIRE",2065,"above zero",5.772071167888,11.4576229785788
"139","FIRE",2070,"at or below zero",5.68555746755724,5.68555746755724
"140","FIRE",2070,"above zero",5.77209834818957,11.4576558157468
"141","FIRE",2075,"at or below zero",5.68556284718095,5.68556284718095
"142","FIRE",2075,"above zero",5.77212419638591,11.4576870435669
"143","FIRE",2080,"at or below zero",5.68556796314957,5.68556796314957
"144","FIRE",2080,"above zero",5.77214877776345,11.457716740913
"145","FOAM",2030,"above zero",1.0466923365603,1.0466923365603
"146","FOAM",2035,"above zero",4.13046721875699,4.13046721875699
"147","FOAM",2040,"above zero",10.1252318405645,10.1252318405645
"148","FOAM",2045,"above zero",10.8458010097195,10.8458010097195
"149","FOAM",2050,"above zero",12.302334278048,12.302334278048
"150","FOAM",2055,"above zero",12.3041223885756,12.3041223885756
"151","FOAM",2060,"above zero",12.3058165091513,12.3058165091513
"152","FOAM",2065,"above zero",12.3074306985154,12.3074306985154
"153","FOAM",2070,"above zero",12.3089657765403,12.3089657765403
"154","FOAM",2075,"above zero",12.3104256204677,12.3104256204677
"155","FOAM",2080,"above zero",12.3118139175172,12.3118139175172
"156","FPD",2020,"above zero",37.1221036939071,37.1221036939071
"157","FPD",2025,"above zero",53.8210270842078,53.8210270842078
"158","FPD",2030,"above zero",69.0898438308043,69.0898438308043
"159","FPD",2035,"above zero",85.273598204771,85.273598204771
"160","FPD",2040,"above zero",104.796633032688,104.796633032688
"161","FPD",2045,"above zero",128.236278683761,128.236278683761
"162","FPD",2050,"above zero",156.304250607379,156.304250607379
"163","FPD",2055,"above zero",156.58354924864,156.58354924864
"164","FPD",2060,"above zero",156.849082087944,156.849082087944
"165","FPD",2065,"above zero",157.101638898735,157.101638898735
"166","FPD",2070,"above zero",157.341817912844,157.341817912844
"167","FPD",2075,"above zero",157.570225765456,157.570225765456
"168","FPD",2080,"above zero",157.787439360609,157.787439360609
"169","GAS",2020,"at or below zero",51.601963253068,51.601963253068
"170","GAS",2020,"above zero",622.282558726566,673.884521979634
"171","GAS",2025,"at or below zero",60.519049318653,60.519049318653
"172","GAS",2025,"above zero",643.795412701179,704.314462019832
"173","GAS",2030,"at or below zero",69.127378619721,69.127378619721
"174","GAS",2030,"above zero",656.137257377748,725.264635997469
"175","GAS",2035,"at or below zero",82.9932536181356,82.9932536181356
"176","GAS",2035,"above zero",687.021333459503,770.014587077639
"177","GAS",2040,"at or below zero",91.2434667445359,91.2434667445359
"178","GAS",2040,"above zero",737.160817102135,828.404283846671
"179","GAS",2045,"at or below zero",100.155302400286,100.155302400286
"180","GAS",2045,"above zero",786.279790773773,886.435093174059
"181","GAS",2050,"at or below zero",113.379427386426,113.379427386426
"182","GAS",2050,"above zero",838.303048225156,951.682475611582
